antecedent,consequent,support,confidence,lift
{88631},{24746},0.024,0.951,37.619
{88631},{7190},0.024,0.961,37.644
{88631},{92490},0.024,0.951,36.909
{88631},{51657},0.024,0.961,36.941
{88631},{95398},0.024,0.971,36.633
{88631},{12305},0.024,0.971,25.929
{92490},{51657},0.025,0.972,37.360
{92490},{95398},0.025,0.972,36.675
{92490},{12305},0.025,0.981,26.210
{92490},{7190},0.024,0.943,36.963
{92490},{24746},0.024,0.934,36.945
{92490},{88631},0.024,0.915,36.909
{95398},{12305},0.026,0.972,25.979
{95398},{51657},0.026,0.963,37.038
{95398},{92490},0.025,0.945,36.675
{95398},{7190},0.025,0.936,36.665
{95398},{24746},0.025,0.936,37.017
{95398},{88631},0.024,0.908,36.633
{61144},{48693},0.010,0.875,67.920
{61144},{37096},0.010,0.875,40.447
{1909},{28229},0.015,0.765,44.352
{7964},{46032},0.014,0.966,67.365
{7964},{75605},0.014,0.949,67.324
{7964},{76463},0.014,0.949,67.324
{7964},{82229},0.013,0.932,68.484
{7964},{20267},0.013,0.881,67.146
{7964},{32107},0.013,0.881,68.413
{7964},{70932},0.013,0.898,67.193
{20267},{70932},0.012,0.907,67.874
{20267},{82229},0.012,0.926,68.022
{20267},{76463},0.013,0.963,68.304
{20267},{75605},0.013,0.981,69.617
{20267},{46032},0.013,0.963,67.146
{20267},{7964},0.013,0.963,67.146
{20267},{32107},0.012,0.889,68.998
{28229},{1909},0.015,0.873,44.352
{32107},{20267},0.012,0.906,68.998
{32107},{70932},0.012,0.906,67.743
{32107},{82229},0.012,0.943,69.306
{32107},{76463},0.012,0.943,66.916
{32107},{75605},0.012,0.943,66.916
{32107},{46032},0.013,0.981,68.413
{32107},{7964},0.013,0.981,68.413
{70932},{20267},0.012,0.891,67.874
{70932},{32107},0.012,0.873,67.743
{70932},{82229},0.012,0.909,66.786
{70932},{76463},0.013,0.945,67.062
{70932},{75605},0.013,0.945,67.062
{70932},{46032},0.013,0.982,68.461
{70932},{7964},0.013,0.964,67.193
{75605},{46032},0.014,0.966,67.324
{75605},{7964},0.014,0.966,67.324
{75605},{76463},0.014,0.966,68.485
{75605},{82229},0.013,0.931,68.398
{75605},{20267},0.013,0.914,69.617
{75605},{32107},0.012,0.862,66.916
{75605},{70932},0.013,0.897,67.062
{76463},{75605},0.014,0.966,68.485
{76463},{46032},0.014,0.966,67.324
{76463},{7964},0.014,0.966,67.324
{76463},{82229},0.013,0.948,69.664
{76463},{20267},0.013,0.897,68.304
{76463},{32107},0.012,0.862,66.916
{76463},{70932},0.013,0.897,67.062
{82229},{76463},0.013,0.982,69.664
{82229},{75605},0.013,0.964,68.398
{82229},{46032},0.013,0.964,67.238
{82229},{7964},0.013,0.982,68.484
{82229},{20267},0.012,0.893,68.022
{82229},{32107},0.012,0.893,69.306
{82229},{70932},0.012,0.893,66.786
{19135},{40943},0.010,0.930,69.581
{23515},{40943},0.008,0.944,70.644
{23515},{85640},0.008,0.861,104.194
{40943},{19135},0.010,0.727,69.581
{85640},{23515},0.008,0.912,104.194
{85640},{40943},0.008,0.941,70.400
{23473},{25204},0.013,0.981,73.389
{23473},{45937},0.012,0.906,73.057
{25204},{23473},0.013,0.945,73.389
{25204},{45937},0.012,0.909,73.333
{45937},{23473},0.012,0.941,73.057
{45937},{25204},0.012,0.980,73.333
{6292},{79723},0.018,0.871,28.884
{6292},{78091},0.018,0.859,43.620
{6292},{57933},0.018,0.859,45.297
{57933},{78091},0.017,0.897,45.581
{57933},{6292},0.018,0.936,45.297
{57933},{79723},0.017,0.885,29.349
{17593},{1823},0.008,0.970,58.667
{17593},{46172},0.008,1.000,124.667
{17593},{69328},0.008,1.000,124.667
{17593},{96844},0.008,1.000,124.667
{46172},{17593},0.008,1.000,124.667
{46172},{1823},0.008,0.970,58.667
{46172},{69328},0.008,1.000,124.667
{46172},{96844},0.008,1.000,124.667
{69328},{46172},0.008,1.000,124.667
{69328},{17593},0.008,1.000,124.667
{69328},{1823},0.008,0.970,58.667
{69328},{96844},0.008,1.000,124.667
{96844},{69328},0.008,1.000,124.667
{96844},{46172},0.008,1.000,124.667
{96844},{17593},0.008,1.000,124.667
{96844},{1823},0.008,0.970,58.667
{7686},{74994},0.024,0.907,34.889
{7686},{61432},0.023,0.861,34.731
{7686},{25161},0.022,0.824,33.902
{7686},{39749},0.024,0.926,33.415
{7686},{64408},0.024,0.898,16.795
{61432},{74994},0.022,0.873,33.548
{61432},{7686},0.023,0.912,34.731
{61432},{39749},0.024,0.951,34.319
{61432},{64408},0.023,0.922,17.233
{61432},{25161},0.020,0.814,33.477
{8620},{29231},0.012,0.787,52.214
{8620},{64659},0.013,0.852,53.137
{8620},{30895},0.012,0.836,41.946
{8620},{76367},0.010,0.705,51.786
{29231},{64659},0.013,0.855,53.285
{29231},{30895},0.014,0.903,45.315
{29231},{8620},0.012,0.774,52.214
{29231},{76367},0.010,0.677,49.766
{30895},{29231},0.014,0.683,45.315
{30895},{64659},0.014,0.683,42.569
{64659},{29231},0.013,0.803,53.285
{64659},{8620},0.013,0.788,53.137
{64659},{76367},0.011,0.697,51.202
{64659},{30895},0.014,0.848,42.569
{7225},{25883},0.010,0.977,89.344
{25883},{7225},0.010,0.956,89.344
{51405},{90703},0.012,0.667,48.117
{4110},{72468},0.017,0.986,58.759
{4110},{65606},0.016,0.971,58.746
{4110},{30032},0.016,0.957,58.733
{4110},{83011},0.016,0.957,58.733
{30032},{65606},0.016,0.970,58.694
{30032},{72468},0.016,0.985,58.733
{30032},{4110},0.016,0.985,58.733
{30032},{83011},0.016,0.955,58.654
{65606},{72468},0.016,0.985,58.746
{65606},{4110},0.016,0.985,58.746
{65606},{30032},0.016,0.956,58.694
{65606},{83011},0.016,0.956,58.694
{72468},{4110},0.017,0.986,58.759
{72468},{65606},0.016,0.971,58.746
{72468},{30032},0.016,0.957,58.733
{72468},{83011},0.016,0.957,58.733
{83011},{30032},0.016,0.955,58.654
{83011},{65606},0.016,0.970,58.694
{83011},{72468},0.016,0.985,58.733
{83011},{4110},0.016,0.985,58.733
{40204},{54727},0.017,0.922,48.634
{40204},{64408},0.018,0.987,18.457
{40204},{52223},0.017,0.909,49.211
{40204},{49765},0.017,0.909,49.867
{52223},{40204},0.017,0.921,49.211
{52223},{54727},0.017,0.934,49.274
{52223},{64408},0.018,0.987,18.454
{52223},{49765},0.017,0.908,49.801
{54727},{40204},0.017,0.910,48.634
{54727},{52223},0.017,0.910,49.274
{54727},{49765},0.017,0.885,48.524
{54727},{64408},0.019,0.987,18.460
{9603},{23012},0.011,1.000,87.532
{9603},{26391},0.010,0.955,41.337
{23012},{26391},0.011,0.936,40.541
{23012},{9603},0.011,0.936,87.532
{1952},{78422},0.014,0.950,64.070
{1952},{7551},0.014,0.967,65.195
{1952},{22422},0.013,0.917,39.696
{1952},{89643},0.014,0.933,63.996
{7551},{22422},0.014,0.918,39.756
{7551},{78422},0.014,0.967,65.231
{7551},{1952},0.014,0.951,65.195
{7551},{89643},0.014,0.934,64.070
{78422},{7551},0.014,0.967,65.231
{78422},{22422},0.014,0.918,39.756
{78422},{1952},0.014,0.934,64.070
{78422},{89643},0.014,0.934,64.070
{89643},{1952},0.014,0.933,63.996
{89643},{78422},0.014,0.950,64.070
{89643},{7551},0.014,0.950,64.070
{89643},{22422},0.014,0.950,41.140
{11568},{63490},0.011,0.979,83.885
{11568},{86703},0.011,0.936,81.945
{63490},{11568},0.011,0.958,83.885
{63490},{86703},0.011,0.938,82.061
{86703},{11568},0.011,0.936,81.945
{86703},{63490},0.011,0.957,82.061
{4273},{76608},0.009,0.864,88.825
{4273},{95697},0.009,0.864,88.825
{76608},{4273},0.009,0.950,88.825
{76608},{95697},0.009,0.925,95.136
{95697},{76608},0.009,0.925,95.136
{95697},{4273},0.009,0.950,88.825
{8347},{47420},0.018,0.916,44.846
{8347},{83602},0.019,0.940,44.955
{8347},{74096},0.018,0.916,35.538
{8347},{73735},0.018,0.892,44.731
{8347},{88940},0.018,0.867,45.174
{47420},{8347},0.018,0.905,44.846
{47420},{73735},0.019,0.917,45.990
{47420},{83602},0.020,0.964,46.129
{47420},{74096},0.019,0.940,36.501
{47420},{88940},0.018,0.881,45.876
{73735},{8347},0.018,0.902,44.731
{73735},{47420},0.019,0.939,45.990
{73735},{83602},0.019,0.951,45.504
{73735},{74096},0.018,0.927,35.971
{73735},{88940},0.017,0.866,45.090
{83602},{74096},0.019,0.930,36.104
{83602},{8347},0.019,0.907,44.955
{83602},{73735},0.019,0.907,45.504
{83602},{47420},0.020,0.942,46.129
{83602},{88940},0.019,0.895,46.626
{88940},{73735},0.017,0.899,45.090
{88940},{8347},0.018,0.911,45.174
{88940},{47420},0.018,0.937,45.876
{88940},{83602},0.019,0.975,46.626
{88940},{74096},0.018,0.949,36.846
{63440},{95928},0.009,1.000,111.189
{63440},{1823},0.009,0.972,58.819
{63440},{77381},0.009,0.972,111.103
{95928},{1823},0.009,0.973,58.865
{95928},{63440},0.009,0.973,111.189
{95928},{77381},0.009,0.973,111.189
{9247},{97310},0.009,0.974,100.143
{9247},{56895},0.009,0.947,97.437
{9247},{32636},0.009,0.974,97.701
{9247},{95109},0.009,1.000,97.952
{9247},{44000},0.009,1.000,97.952
{9247},{98774},0.009,0.921,56.555
{32636},{95109},0.010,1.000,97.952
{32636},{44000},0.010,1.000,97.952
{32636},{98774},0.009,0.927,56.910
{32636},{56895},0.009,0.951,97.833
{32636},{97310},0.009,0.951,97.833
{32636},{9247},0.009,0.902,97.701
{44000},{98774},0.009,0.929,57.017
{44000},{95109},0.010,1.000,97.952
{44000},{32636},0.010,0.976,97.952
{44000},{56895},0.010,0.952,97.952
{44000},{97310},0.010,0.952,97.952
{44000},{9247},0.009,0.905,97.952
{56895},{32636},0.009,0.975,97.833
{56895},{95109},0.010,1.000,97.952
{56895},{44000},0.010,1.000,97.952
{56895},{98774},0.009,0.925,56.798
{56895},{97310},0.009,0.950,97.707
{56895},{9247},0.009,0.900,97.437
{95109},{44000},0.010,1.000,97.952
{95109},{98774},0.009,0.929,57.017
{95109},{32636},0.010,0.976,97.952
{95109},{56895},0.010,0.952,97.952
{95109},{97310},0.010,0.952,97.952
{95109},{9247},0.009,0.905,97.952
{97310},{56895},0.009,0.950,97.707
{97310},{32636},0.009,0.975,97.833
{97310},{95109},0.010,1.000,97.952
{97310},{44000},0.010,1.000,97.952
{97310},{98774},0.009,0.925,56.798
{97310},{9247},0.009,0.925,100.143
{4818},{77158},0.009,0.921,94.730
{4818},{64405},0.008,0.895,70.787
{4818},{98246},0.009,1.000,68.567
{4818},{79449},0.009,0.947,61.865
{47247},{43143},0.008,0.838,68.937
{47247},{93794},0.008,0.865,107.820
{47247},{76464},0.008,0.838,107.715
{64405},{98246},0.012,0.962,65.929
{64405},{79449},0.012,0.942,61.534
{64405},{77158},0.009,0.692,71.204
{77158},{64405},0.009,0.900,71.204
{77158},{98246},0.009,0.975,66.853
{77158},{79449},0.009,0.925,60.404
{77158},{4818},0.009,0.875,94.730
{79449},{98246},0.013,0.857,58.771
{79449},{64405},0.012,0.778,61.534
{98246},{79449},0.013,0.900,58.771
{98246},{64405},0.012,0.833,65.929
{26328},{27228},0.009,0.884,82.628
{26328},{71952},0.009,0.837,71.756
{26328},{38700},0.008,0.721,82.386
{71952},{27228},0.009,0.750,70.125
{71952},{26328},0.009,0.750,71.756
{2555},{51239},0.008,1.000,121.000
{14749},{51239},0.008,1.000,121.000
{45122},{55020},0.020,0.903,39.956
{45122},{44413},0.020,0.871,39.813
{45122},{55776},0.020,0.871,27.563
{45122},{40313},0.021,0.914,24.103
{51239},{2555},0.008,0.912,121.000
{51239},{14749},0.008,0.912,121.000
{23914},{31651},0.009,0.900,43.560
{5413},{46471},0.010,0.854,71.715
{5413},{45144},0.011,0.917,72.522
{5413},{47041},0.011,0.938,71.424
{45144},{47041},0.012,0.923,70.325
{45144},{46471},0.011,0.846,71.042
{45144},{5413},0.011,0.846,72.522
{46471},{45144},0.011,0.898,71.042
{46471},{47041},0.011,0.939,71.521
{46471},{5413},0.010,0.837,71.715
{47041},{45144},0.012,0.889,70.325
{47041},{46471},0.011,0.852,71.521
{47041},{5413},0.011,0.833,71.424
{14840},{17785},0.011,0.917,67.342
{14840},{79723},0.011,0.917,30.413
{14840},{58675},0.011,0.917,85.708
{14840},{15547},0.010,0.896,85.708
{15547},{58675},0.010,0.953,89.151
{15547},{14840},0.010,1.000,85.708
{15547},{17785},0.009,0.907,66.630
{15547},{79723},0.009,0.907,30.091
{17785},{79723},0.010,0.714,23.698
{17785},{14840},0.011,0.786,67.342
{17785},{58675},0.010,0.732,68.455
{17785},{15547},0.009,0.696,66.630
{58675},{14840},0.011,1.000,85.708
{58675},{17785},0.010,0.932,68.455
{58675},{79723},0.010,0.909,30.161
{58675},{15547},0.010,0.932,89.151
{29975},{65810},0.011,0.938,77.138
{29975},{87208},0.008,0.667,78.362
{33820},{87208},0.008,1.000,117.543
{33820},{29975},0.008,0.912,78.146
{33820},{65810},0.008,0.912,75.020
{33820},{67131},0.007,0.882,117.097
{65810},{29975},0.011,0.900,77.138
{67131},{33820},0.007,0.968,117.097
{67131},{87208},0.008,1.000,117.543
{67131},{65810},0.007,0.968,79.626
{87208},{29975},0.008,0.914,78.362
{87208},{65810},0.008,0.914,75.227
{87208},{33820},0.008,0.971,117.543
{87208},{67131},0.008,0.886,117.543
{38968},{70283},0.012,0.942,71.790
{38968},{48684},0.012,0.962,71.923
{38968},{93775},0.012,0.942,39.158
{38968},{52164},0.010,0.808,70.699
{48684},{93775},0.013,0.964,40.044
{48684},{70283},0.013,0.945,72.030
{48684},{38968},0.012,0.909,71.923
{48684},{52164},0.011,0.855,74.800
{52164},{38968},0.010,0.894,70.699
{52164},{70283},0.011,0.979,74.564
{52164},{48684},0.011,1.000,74.800
{52164},{93775},0.011,1.000,41.556
{70283},{48684},0.013,0.963,72.030
{70283},{93775},0.012,0.944,39.247
{70283},{38968},0.012,0.907,71.790
{70283},{52164},0.011,0.852,74.564
{1518},{18042},0.012,0.944,70.644
{1518},{6828},0.012,0.926,69.259
{1518},{90112},0.012,0.944,69.383
{1518},{90703},0.012,0.944,68.166
{1518},{51405},0.011,0.852,48.674
{6828},{90112},0.013,0.945,69.457
{6828},{90703},0.013,0.945,68.239
{6828},{51405},0.011,0.836,47.789
{6828},{18042},0.012,0.909,68.000
{6828},{1518},0.012,0.909,69.259
{18042},{6828},0.012,0.909,68.000
{18042},{90112},0.013,0.945,69.457
{18042},{90703},0.013,0.945,68.239
{18042},{51405},0.011,0.818,46.750
{18042},{1518},0.012,0.927,70.644
{90112},{6828},0.013,0.929,69.457
{90112},{90703},0.013,0.946,68.309
{90112},{51405},0.011,0.839,47.956
{90112},{18042},0.013,0.929,69.457
{90112},{1518},0.012,0.911,69.383
{3953},{36743},0.010,0.930,76.540
{36743},{3953},0.010,0.800,76.540
{189},{52078},0.016,0.941,56.116
{189},{48888},0.016,0.985,56.299
{189},{45550},0.016,0.985,56.299
{189},{11707},0.016,0.971,55.458
{189},{48818},0.015,0.912,55.162
{11707},{45550},0.017,0.972,55.552
{11707},{48888},0.017,0.972,55.552
{11707},{52078},0.016,0.931,55.483
{11707},{189},0.016,0.917,55.458
{11707},{48818},0.016,0.903,54.618
{45550},{11707},0.017,0.972,55.552
{45550},{48888},0.017,0.986,56.345
{45550},{52078},0.017,0.944,56.311
{45550},{189},0.016,0.931,56.299
{45550},{48818},0.016,0.917,55.458
{48818},{189},0.015,0.912,55.162
{48818},{52078},0.015,0.912,54.362
{48818},{48888},0.016,0.956,54.618
{48818},{45550},0.016,0.971,55.458
{48818},{11707},0.016,0.956,54.618
{48888},{45550},0.017,0.986,56.345
{48888},{11707},0.017,0.972,55.552
{48888},{52078},0.017,0.944,56.311
{48888},{189},0.016,0.931,56.299
{48888},{48818},0.016,0.903,54.618
{52078},{48888},0.017,0.986,56.311
{52078},{45550},0.017,0.986,56.311
{52078},{11707},0.016,0.971,55.483
{52078},{189},0.016,0.928,56.116
{52078},{48818},0.015,0.899,54.362
{27228},{71952},0.009,0.818,70.125
{27228},{26328},0.009,0.864,82.628
{27228},{38700},0.008,0.750,85.708
{38700},{26328},0.008,0.861,82.386
{38700},{27228},0.008,0.917,85.708
{38700},{71952},0.007,0.833,71.424
{59723},{88356},0.009,1.000,114.278
{59723},{22422},0.008,0.971,42.068
{59723},{73514},0.008,0.886,113.870
{73514},{59723},0.008,0.969,113.870
{73514},{88356},0.008,1.000,114.278
{73514},{22422},0.008,0.969,41.952
{88356},{22422},0.009,0.972,42.102
{88356},{59723},0.009,0.972,114.278
{88356},{73514},0.008,0.889,114.278
{49765},{52223},0.017,0.920,49.801
{49765},{40204},0.017,0.933,49.867
{49765},{54727},0.017,0.920,48.524
{49765},{64408},0.018,1.000,18.700
{76367},{8620},0.010,0.768,51.786
{76367},{29231},0.010,0.750,49.766
{76367},{64659},0.011,0.821,51.202
{76367},{30895},0.011,0.821,41.212
{24037},{98490},0.022,0.978,39.064
{24037},{82125},0.021,0.967,30.369
{24037},{39701},0.016,0.725,45.209
{24037},{86506},0.016,0.725,45.209
{39701},{24037},0.016,1.000,45.209
{39701},{98490},0.016,1.000,39.942
{39701},{82125},0.016,1.000,31.405
{39701},{86506},0.016,0.985,61.389
{82125},{98490},0.024,0.748,29.880
{82125},{24037},0.021,0.672,30.369
{86506},{39701},0.016,0.985,61.389
{86506},{24037},0.016,1.000,45.209
{86506},{98490},0.016,1.000,39.942
{86506},{82125},0.016,1.000,31.405
{98490},{82125},0.024,0.951,29.880
{98490},{24037},0.022,0.864,39.064
{25866},{74117},0.008,0.970,120.889
{25866},{36543},0.008,0.939,120.771
{36543},{74117},0.008,0.969,120.771
{36543},{25866},0.008,0.969,120.771
{74117},{25866},0.008,0.970,120.889
{74117},{36543},0.008,0.939,120.771
{31494},{64408},0.008,1.000,18.700
{31494},{75949},0.008,1.000,128.562
{31494},{97474},0.008,1.000,128.562
{75949},{31494},0.008,1.000,128.562
{75949},{64408},0.008,1.000,18.700
{75949},{97474},0.008,1.000,128.562
{97474},{75949},0.008,1.000,128.562
{97474},{31494},0.008,1.000,128.562
{97474},{64408},0.008,1.000,18.700
{192},{51412},0.007,1.000,111.189
{192},{74813},0.007,1.000,137.133
{34032},{51412},0.009,0.947,105.337
{51412},{34032},0.009,0.973,105.337
{51412},{192},0.007,0.811,111.189
{51412},{74813},0.007,0.811,111.189
{74813},{192},0.007,1.000,137.133
{74813},{51412},0.007,1.000,111.189
{90703},{51405},0.012,0.842,48.117
{90703},{6828},0.013,0.912,68.239
{90703},{90112},0.013,0.930,68.309
{90703},{18042},0.013,0.912,68.239
{90703},{1518},0.012,0.895,68.166
{14753},{24019},0.009,0.921,97.159
{24019},{14753},0.009,0.897,97.159
{24746},{7190},0.024,0.942,36.921
{24746},{92490},0.024,0.952,36.945
{24746},{51657},0.025,0.971,37.340
{24746},{95398},0.025,0.981,37.017
{24746},{12305},0.025,0.971,25.944
{24746},{88631},0.024,0.933,37.619
{25161},{61432},0.020,0.830,33.477
{25161},{74994},0.021,0.870,33.450
{25161},{7686},0.022,0.890,33.902
{25161},{39749},0.023,0.930,33.562
{25161},{64408},0.021,0.880,16.456
{33056},{89891},0.008,1.000,91.422
{33056},{36606},0.008,1.000,128.562
{33056},{42246},0.008,1.000,128.562
{33056},{56984},0.008,1.000,128.562
{36606},{33056},0.008,1.000,128.562
{36606},{89891},0.008,1.000,91.422
{36606},{42246},0.008,1.000,128.562
{36606},{56984},0.008,1.000,128.562
{42246},{36606},0.008,1.000,128.562
{42246},{33056},0.008,1.000,128.562
{42246},{89891},0.008,1.000,91.422
{42246},{56984},0.008,1.000,128.562
{56984},{42246},0.008,1.000,128.562
{56984},{36606},0.008,1.000,128.562
{56984},{33056},0.008,1.000,128.562
{56984},{89891},0.008,1.000,91.422
{89891},{33056},0.008,0.711,91.422
{89891},{36606},0.008,0.711,91.422
{89891},{42246},0.008,0.711,91.422
{89891},{56984},0.008,0.711,91.422
{57066},{79607},0.011,0.852,62.581
{57066},{42096},0.012,0.926,63.488
{57066},{61972},0.012,0.926,62.447
{57066},{26391},0.012,0.889,38.494
{79607},{42096},0.013,0.946,64.893
{79607},{61972},0.013,0.929,62.625
{79607},{26391},0.010,0.768,33.252
{79607},{57066},0.011,0.821,62.581
{61111},{74755},0.012,0.790,58.060
{74755},{61111},0.012,0.875,58.060
{3040},{17608},0.009,0.857,80.143
{3040},{20643},0.009,0.881,61.428
